Organization Name,Organization Name URL,Company Type,IPO Status,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
Finaloop,https://www.crunchbase.com/organization/finaloop,For Profit,Private,Seed,"Accounting, E-Commerce, FinTech, SaaS, Small and Medium Businesses","Finaloop is a bookkeeping and business tax filing solution for U.S. online sellers. We seamlessly integrate with your digital apps and handle your accounting from start to finish, for you. You do not need to hire bookkeepers or tax accountants. With Finaloop, you can finally get real-time insight into your finances, save time and money.","Brooklyn, New York, United States",11-50,Active,17000000,USD,17000000,15200000,USD,15200000,2021-10-01,info@finaloop.com
Cumbuca,https://www.crunchbase.com/organization/comadre,For Profit,Private,Seed,"Financial Services, FinTech, Software","Cumbuca is the first digital group account for Brazilian families. By grouping individual accounts with a shared permission system that's completely customizable, Cumbuca mimics the experience of American joint accounts - which aren't available in Brazil - providing features such as shared savings, debt tracking and bill splitting on everything from utilities to groceries and online delivery, so you don't ever have to argue with your loved ones again.","São Paulo, Sao Paulo, Brazil",11-50,Active,3125000,USD,3125000,3000000,USD,3000000,2023-08-24,marketing@cumbuca.com
Ness,https://www.crunchbase.com/organization/ness-a336,For Profit,Private,Seed,"Financial Services, FinTech, Health Care, Internet","Ness builds a credit card-first wedge into healthcare. It allows its user to earn rewards for healthy purchases and access exclusive perks to complement their lifestyle. It was established in 2021 and is based in New York, United States.","New York, New York, United States",11-50,Active,15500000,USD,15500000,15500000,USD,15500000,2022-05-10,
Paykii,https://www.crunchbase.com/organization/paykii,For Profit,Private,Seed,"Billing, Developer Platform, FinTech, Information Services, Information Technology, Mobile Payments, Payments","PayKii provides a B2B cross-border bill pay solution to money transfer operators (MTOs), banks and mobile money operators that enables their customers in one country to directly pay expenses for their family members back home. ","Arlington, Virginia, United States",11-50,Active,2050000,USD,2050000,,,,2018-07-28,info@paykii.com
Meanwhile,https://www.crunchbase.com/organization/meanwhile-3fc0,For Profit,Private,Seed,"Bitcoin, Cryptocurrency, Financial Services, FinTech, Insurance, InsurTech, Life Insurance","Meanwhile's BTC whole life product is designed for anyone who plans to HODL BTC for the long term, is interested in intergenerational wealth creation and transfer, and loves tax-advantaged structures.  Meanwhile is the first long-term insurer anywhere to operate in a digital asset. It is an insurance company entirely denominated in BTC and regulated by the Bermuda Monetary Authority. It accepts premiums and pays claims in BTC and does its reserves and audited financials in BTC.  The initial product is a tax-efficient way to hold Bitcoin with guaranteed growth and return (in BTC terms), allows for liquidity through lending, and is easy to set up. A user pays in ten equal installments (or partially upfront through a premium deposit account) and then designates beneficiaries to receive a fixed payout upon death. As the policy accumulates in value, users can take out a tax-free policy loan.","Hamilton, Hamilton, Bermuda",1-10,Active,19000000,USD,19000000,19000000,USD,19000000,2023-06-06,info@meanwhile.bm
NextPay,https://www.crunchbase.com/organization/nextpay-3f8a,For Profit,Private,Seed,"Financial Services, FinTech, Payments","NextPay is an alternative to bank accounts for small businesses and entrepreneurs. Its platform enables companies to collect customer payments via digital invoices, manage their cash, and pay their employees, suppliers, or bills in batches to any bank or e-wallet.","Makati, Manila, Philippines",11-50,Active,1720086,USD,1720086,80000000,PHP,1595085,2021-07-28,
Fello,https://www.crunchbase.com/organization/fello-3331,For Profit,Private,Seed,"Finance, Financial Services, FinTech","Fello is a savings and investment platform that helps to save, invest and earn higher returns than a traditional savings account.","Bengaluru, Karnataka, India",1-10,Active,5008000,USD,5008000,4000000,USD,4000000,2023-01-05,hello@fello.in
Raincoat,https://www.crunchbase.com/organization/raincoat,For Profit,Private,Seed,"Financial Services, FinTech, Insurance, InsurTech, Software","Raincoat develops highly scalable embedded climate insurance products and the automated infrastructure that powers them. They work with insurers, governments, and financial institutions to unlock new markets and enable climate resilience at scale.","San Juan, NA - Puerto Rico, Puerto Rico",1-10,Active,11150000,USD,11150000,6500000,USD,6500000,2023-06-26,hi@teamraincoat.com
Coinme,https://www.crunchbase.com/organization/coinme,For Profit,Private,Seed,"Bitcoin, Blockchain, Cryptocurrency, FinTech, Virtual Currency","Coinme operates the largest licensed cryptocurrency cash exchange in the U.S. Founded in 2014 with the simple belief that buying digital currencies should be easy and accessible to everyone, Coinme powers thousands of physical locations in 48 states to buy and sell bitcoin using cash through partnerships with Coinstar and MoneyGram. The company offers an enterprise-grade API that helps “crypto-enable” legacy financial systems and a vertically integrated suite of consumer products that provide an easy and secure way to buy, sell, store, and manage digital currencies.","Seattle, Washington, United States",51-100,Active,30561353,USD,30561353,772801,USD,772801,2022-10-11,press@coinme.com
Kodo,https://www.crunchbase.com/organization/kodo-1892,For Profit,Private,Seed,"B2B, Financial Services, FinTech, Small and Medium Businesses","Kodo is a fintech startup focused on serving the corporate card and B2B payments needs of small businesses. The company offers credit cards for startups. It can be used for services such as business expenses, money transfers, online/offline purchases, and more. Kodo was founded in 2019 and is headquartered in Mumbai, Maharashtra.","Mumbai, Maharashtra, India",11-50,Active,635000000,INR,8736466,635000000,INR,8736466,2021-05-27,hello@kodo.in
Parallax,https://www.crunchbase.com/organization/parallax-284a,For Profit,Private,Seed,"Cryptocurrency, Finance, FinTech, Payments","Parallax offers a crypto platform where users can seamlessly pay and get paid in crypto and cash. Parallax builds the infrastructure to make crypto the ubiquitous form of business money movement, enabling businesses to make payments simple by communicating the need for payment and accounting.","New York, New York, United States",1-10,Active,4500000,USD,4500000,4500000,USD,4500000,2023-09-12,support@parallax.to
Dfns,https://www.crunchbase.com/organization/xkey,For Profit,Private,Seed,"Blockchain, Cryptocurrency, Cyber Security, Developer Tools, FinTech, SaaS","Dfns is a cybersecurity company that builds custody* SaaS protocol for web3 apps. Think of it as a developer tool that provides secure cloud for crypto.  Our mission is to bring serenity to DeFi by eliminating new blockchain risks and vulnerabilities, and making crypto transactions easier, faster, more affordable, and compliant with exisiting regulations.   From fintechs to large banks to e-commerce sites, Dfns gives platforms the freedom to manage and transfer crypto on a battle-designed security infrastructure. Our API is designed to offer best-in-class developer experience and allows any app to deploy custodial wallets in a matter of days, with streamlined feature delivery and security upgrades.   At the core of our infra runs a keyless wallet generation process (zk protocol) enabling clients to send, deposit, and store any digital asset (crypto, STO, NFT, etc.) with peace of mind. Dfns is powered by a decentralized custody network designed to break up the inner complications of blockchains, remove all single points of failure, and reinstate frictionless business environments. Today, more than 100 companies such as Paxos, Bitgo, Kraken, Coinbase, ConsenSys, Galaxy, Blockfi, Metamask, Figment, Fidelity, and JP Morgan have registered on our waitlist to try out our solutions.   Founded in 2020 in Paris, Dfns is a startup incubated at Station F (awarded Future 40), backed by Techstars and recognized DeepTech by the French Ministry of Economy. Our company is fully remote with offices in Paris, Amsterdam, New York, London, Stockholm, Sofia, and other cities.   *Crypto custody requires maximum security. Don’t DIY. We're hiring! jobs@dfns.co. For media enquiries: press@dfns.co","Paris, Ile-de-France, France",11-50,Active,14592408,USD,14592408,13500000,USD,13500000,2022-04-13,contact@dfns.co
