Organization Name,Organization Name URL,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
GET Protocol,https://www.crunchbase.com/organization/get-protocol,Seed,"Blockchain, Cryptocurrency, Finance, FinTech, Ticketing",,"Amsterdam, Noord-Holland, The Netherlands",11-50,Active,4000000,EUR,4456224,4000000,EUR,4456223,2023-07-12,
Gullak.Money,https://www.crunchbase.com/organization/gullak-money,Seed,FinTech,Gullak.Money aims to create an all-inclusive ecosystem of saving which is accessible to all.,"Bengaluru, Karnataka, India",11-50,Active,4778892,USD,4778892,244000000,INR,2996208,2023-01-18,Gullak643@gmail.com
Stableton Financial,https://www.crunchbase.com/organization/stableton-financial-ag,Series A,"Consumer, Financial Services, FinTech, Information Technology, Internet, Software, Transportation","Founded in 2018, Stableton is an investment firm based in Zurich, Switzerland. The firm seeks to invest in growth stage tech-enabled companies operating in the cloud, enterprise software-as-a-service, consumer, information technology and fintech sectors. The firm has additional offices in Zug and Berlin.","Zug, Zug, Switzerland",11-50,Active,15150000,CHF,15431229,15000000,CHF,15275260,2022-07-12,info@stableton.com
Vested Finance,https://www.crunchbase.com/organization/vested-6e69,Series A,"Financial Services, FinTech, Stock Exchanges, Trading Platform","Vested Finance is an online investment platform developing an avenue for Indian investors. It provides a low cost and easy-to-use platform that includes knowledge and insights to help clients make smart investment decisions. The company's zero-commission online platform requires no minimum balance and allows investment in U.S. stocks in minutes. Investors can choose individual stocks or ETFs, or select from a variety of curated portfolios created with various goals, themes, and risk levels in mind.","Berkeley, California, United States",11-50,Active,16420000,USD,16420000,12000000,USD,12000000,2022-04-05,help@vestedfinance.co
Kore Labs,https://www.crunchbase.com/organization/kore-61c9,Seed,"Finance, Financial Services, FinTech, Information Technology, SaaS, Software","Kore is a cloud-enabled, SaaS solution for digital product governance in the financial services industry and the first-ever PRM (Product Relationship Management) application. Our turn-key digital service aggregates, organises, visualises and analyses product data throughout the entire product lifecycle, from idea generation to retirement. We provide a complete digital audit trail of events and decisions related to a financial product. Crucially, we build corporate memory, with product events and historical information retrievable at the touch of a button and stored in a uniform format. We accommodate all regulated financial product types including investments, savings, lending, payments, and insurance – both for small businesses and large enterprises.   Our solution is fully configurable, modular and acts as a digital layer that sits above legacy systems. Implementation can be staggered and needs no big bang data migration or heavy systems integration. Kore enables: 1. True product governance oversight, allowing senior managers to meet their regulatory obligations 2. Controlled and cost-effective cross-product management for product specialists 3. Intuitive and consistent product information for the front-line","London, England, United Kingdom",11-50,Active,2400000,GBP,3064848,2400000,GBP,3064848,2023-08-09,info@korelabs.com
Instnt,https://www.crunchbase.com/organization/instnt,Seed,"Banking, Financial Services, FinTech, Insurance, Software","Instnt Inc. is a public benefit corporation on a mission to bring inclusion and instant account opening experiences for businesses and their customers. It is a one-of-a-kind collaborative effort between industry thought leaders, technology vendors and the private and public sector to solve for both sides of the on-boarding problem with a “Stripe for on-boarding” service offering and a new, interoperable Open Trust Protocol to make instant consumer acceptance a global reality.","New York, New York, United States",1-10,Active,6900000,USD,6900000,,,,2020-12-28,info@instnt.org
Paykii,https://www.crunchbase.com/organization/paykii,Seed,"Billing, Developer Platform, FinTech, Information Services, Information Technology, Mobile Payments, Payments","PayKii provides a B2B cross-border bill pay solution to money transfer operators (MTOs), banks and mobile money operators that enables their customers in one country to directly pay expenses for their family members back home. ","Arlington, Virginia, United States",11-50,Active,2050000,USD,2050000,,,,2018-07-28,info@paykii.com
Cacheflow,https://www.crunchbase.com/organization/cacheflow-33f5,Series A,"B2B, FinTech, Payments, SaaS, Sales","Cacheflow is a zero-code SaaS sales platform that automates proposal-to-payment with easy-to-use. The company's solution simplifies the SaaS sales flow, integrating it into a single, no-code platform. It lets sales teams generate dynamic quotes in seconds and streamlines the buying process with simple configuration, interactive B2C-style checkout, and integrated payments.  Cacheflow was founded in 2021 and is based in San Francisco, California.","San Francisco, California, United States",11-50,Active,16000000,USD,16000000,10000000,USD,10000000,2022-12-06,info@getcacheflow.com
Toggle,https://www.crunchbase.com/organization/toggle-f75d,Series A,"Artificial Intelligence, Cryptocurrency, FinTech, Machine Learning","Toggle, a SaaS company, is an intelligent investment platform aiming to give access to state-of-the-art investment technology to passionate investors. AI-powered algorithms organize the firehose of daily data and price information flow into actionable investment insights. The analytical quiver offers power tools to help investors drill deeper into each insight, stress test their hypothesis, and evaluate potential rewards weighed against the risks.","New York, New York, United States",11-50,Active,12750000,USD,12750000,7500000,USD,7500000,2021-05-31,sales@toggle.ai
Monarch Money,https://www.crunchbase.com/organization/monarch-money-inc,Series A,"Financial Services, FinTech, Information Technology, Personal Finance","Monarch Money is a subscription-based platform that provides a personal finance program to track expenses. The platform aims to help consumers plan and manage their financial lives and adds all the transactions, across all bank accounts and credit cards, into one list, and creates a budget to understand where the money is going.","Covina, California, United States",11-50,Active,19800000,USD,19800000,15000000,USD,15000000,2022-02-01,support@monarchmoney.com
Kudi,https://www.crunchbase.com/organization/kudi,Series A,"Artificial Intelligence, Banking, Finance, Financial Services, FinTech","KUDI is a financial service provider focused on providing access to electronic banking and financial services by leveraging conversational interfaces, natural language processing and artificial intelligence to provider faster access, frictionless experience, and ultimately boost financial inclusion in emerging markets.  KUDI is enabling secured financial transactions via Facebook, Telegram, Slack and Skype.  KUDI's focus is the African market with a primary focus on the Nigerian Payment ecosystem and the company does this in partnership with e-payment regulators, a leading commercial bank, and an international payment processor.","Lagos, Lagos, Nigeria",1-10,Active,12700397,USD,12700397,6700000,USD,6700000,2019-04-04,hello@kudi.ai
